gene_symbol,mean_control,mean_influenza,log2_fold_change,p_value,fdr,status,probe_clean,mapped_gene_symbol,gene_description
"""ILMN_1704761""",6.773383695793747,6.7133819503307794,-0.0600017454629675,0.5671742278610464,0.91548017584047,Not Significant,ILMN_1704761,ILMN_1704761,Sonda Illumina
"""ILMN_1704765""",6.670724959741501,6.64547275344826,-0.0252522062932412,0.6641626374986593,0.9412471990311468,Not Significant,ILMN_1704765,ILMN_1704765,Sonda Illumina
"""ILMN_1704779""",6.744217327287099,6.732591627389425,-0.0116256998976735,0.9213451890368703,0.9900408708632122,Not Significant,ILMN_1704779,ILMN_1704779,Sonda Illumina
"""ILMN_1704785""",7.0749921154582704,6.909543650338172,-0.1654484651200984,0.2391281142551696,0.7793077846079339,Not Significant,ILMN_1704785,ILMN_1704785,Sonda Illumina
"""ILMN_1704789""",6.692597624833262,6.594870974190672,-0.0977266506425893,0.2245982326015127,0.7696083163625252,Not Significant,ILMN_1704789,ILMN_1704789,Sonda Illumina
"""ILMN_1704790""",6.7103788421324255,6.813976044437526,0.1035972023051003,0.3823414340131383,0.8527491633565404,Not Significant,ILMN_1704790,ILMN_1704790,Sonda Illumina
"""ILMN_1704793""",8.780544480312845,8.571814411955383,-0.2087300683574611,0.1085571956501792,0.6509444292931246,Not Significant,ILMN_1704793,ILMN_1704793,Sonda Illumina
"""ILMN_1704795""",7.345137516318397,7.54654658474306,0.2014090684246632,0.1572742304283724,0.7090676312977336,Not Significant,ILMN_1704795,ILMN_1704795,Sonda Illumina
"""ILMN_1704797""",6.754046682703434,6.826112592956991,0.0720659102535572,0.4968304026596476,0.8988352876709562,Not Significant,ILMN_1704797,ILMN_1704797,Sonda Illumina
"""ILMN_1704812""",6.63258006839707,6.572938204139341,-0.0596418642577294,0.4849351778821865,0.8953003676167819,Not Significant,ILMN_1704812,ILMN_1704812,Sonda Illumina
"""ILMN_1704842""",6.628384930015201,6.742690203554505,0.1143052735393039,0.4187877292494588,0.8689734046660008,Not Significant,ILMN_1704842,ILMN_1704842,Sonda Illumina
"""ILMN_1704856""",6.860464680682533,6.799388157723117,-0.0610765229594161,0.3062157787836835,0.8170531078558042,Not Significant,ILMN_1704856,ILMN_1704856,Sonda Illumina
"""ILMN_1704858""",6.729672231125662,6.76291436145613,0.0332421303304686,0.5958592475449627,0.9235834944254184,Not Significant,ILMN_1704858,ILMN_1704858,Sonda Illumina
"""ILMN_1704859""",6.489542728307287,6.471672860747664,-0.0178698675596225,0.8078190429821678,0.9719188671794038,Not Significant,ILMN_1704859,ILMN_1704859,Sonda Illumina
"""ILMN_1704861""",6.592637548808821,6.664890234193668,0.0722526853848464,0.5457817418859827,0.9096157480244978,Not Significant,ILMN_1704861,ILMN_1704861,Sonda Illumina
"""ILMN_1704868""",6.740610149171266,6.710277587645498,-0.0303325615257676,0.6937235656957246,0.9486509798280156,Not Significant,ILMN_1704868,ILMN_1704868,Sonda Illumina
"""ILMN_1704870""",6.548716174115573,6.569181356233893,0.0204651821183201,0.8293978146174767,0.9755644648533124,Not Significant,ILMN_1704870,ILMN_1704870,Sonda Illumina
"""ILMN_1704873""",8.973711648187901,9.116730833074948,0.1430191848870468,0.4056121745619471,0.8642982947528013,Not Significant,ILMN_1704873,ILMN_1704873,Sonda Illumina
"""ILMN_1704876""",8.920857564107715,8.985701811818245,0.0648442477105302,0.6613782289643004,0.9405947521700264,Not Significant,ILMN_1704876,ILMN_1704876,Sonda Illumina
