gene_symbol,mean_control,mean_influenza,log2_fold_change,p_value,fdr,status
"""ILMN_3235588""",6.850443402939094,6.97244253914933,0.12199913621023573,0.23171257514187027,0.7736488309977738,Not Significant
"""ILMN_3235593""",7.409844825312892,7.654864856744709,0.2450200314318165,0.187687438042008,0.7360437190803807,Not Significant
"""ILMN_3235597""",7.187313022171146,7.226546879860909,0.03923385768976306,0.8642526085714853,0.9814505823138151,Not Significant
"""ILMN_3235602""",6.655728974687094,6.662916169723235,0.00718719503614107,0.9442626125378122,0.9928730477106921,Not Significant
"""ILMN_3235606""",6.556810067702723,6.571562984486519,0.014752916783796088,0.8149992625232104,0.9730076514433784,Not Significant
"""ILMN_3235613""",6.76082444020391,6.7338481681400895,-0.026976272063820694,0.8302026307687402,0.9756380830607584,Not Significant
"""ILMN_3235617""",6.616944958210588,6.569298869279587,-0.04764608893100153,0.6411479142411605,0.9353097904462386,Not Significant
"""ILMN_3235622""",6.580347801075666,6.639484193538754,0.05913639246308833,0.35317927073409616,0.8389321302794092,Not Significant
"""ILMN_3235632""",14.193218485064605,14.214264201610437,0.02104571654583154,0.7998704233159847,0.9703557900309101,Not Significant
"""ILMN_3235637""",10.23297630510097,9.735184451121748,-0.497791853979221,0.16674573702200832,0.7188280059778133,Not Significant
"""ILMN_3235642""",7.325020390662289,7.050626532410639,-0.2743938582516492,0.06307287456680302,0.5584598557278002,Not Significant
"""ILMN_3235647""",7.578851761200154,7.850083573762795,0.2712318125626414,0.439872444432547,0.8760966363015,Not Significant
"""ILMN_3235652""",6.670366911995615,6.7270481857734055,0.056681273777790864,0.4593814040534019,0.8838898683097922,Not Significant
"""ILMN_3235657""",7.079398530648118,7.438840699139324,0.35944216849120636,0.0748818679711684,0.5868640069996124,Not Significant
"""ILMN_3235662""",6.769411915592883,6.707286417402616,-0.062125498190266804,0.381174244966991,0.852564367128034,Not Significant
"""ILMN_3235667""",6.632673144895439,6.788215008251727,0.15554186335628817,0.01539127607592127,0.35681079756391615,Not Significant
"""ILMN_3235677""",6.773161843878194,6.69073373748855,-0.08242810638964393,0.16210256816716248,0.7154817215571853,Not Significant
"""ILMN_3235683""",6.720987348269611,6.6721386470535125,-0.048848701216098966,0.5105825806780411,0.9026146230512584,Not Significant
